case_id,legal_domain,case_type
CASE-001788,Corporate & Commercial,Commercial Contract Dispute
CASE-001789,Employment & Labour,Wrongful Termination
CASE-001790,Property & Land,Property / Partition Suit
CASE-001791,Human Rights & PIL,Public Interest Litigation
CASE-001792,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001793,Medical Negligence,Medical Negligence Complaint
CASE-001794,Corporate & Commercial,Commercial Contract Dispute
CASE-001795,Arbitration,Arbitral Award Challenge
CASE-001796,Cybercrime & IT,Online Fraud / Cybercrime
CASE-001797,Employment & Labour,Wrongful Termination
CASE-001798,Medical Negligence,Medical Negligence Complaint
CASE-001799,Education Law,Student Admission / Examination Dispute
CASE-001800,Medical Negligence,Medical Negligence Complaint
CASE-001801,Human Rights & PIL,Public Interest Litigation
CASE-001802,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-001803,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001804,Child Protection,POCSO / Child Protection Proceeding
CASE-001805,Employment & Labour,Wrongful Termination
CASE-001806,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001807,Intellectual Property,Trademark Infringement
CASE-001808,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-001809,Media & Defamation,Defamation Suit
CASE-001810,Administrative Law,Administrative Order Challenge
CASE-001811,Consumer Protection,Deficiency in Service Complaint
CASE-001812,Intellectual Property,Trademark Infringement
CASE-001813,Media & Defamation,Defamation Suit
CASE-001814,Medical Negligence,Medical Negligence Complaint
CASE-001815,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-001816,Property & Land,Property / Partition Suit
CASE-001817,Consumer Protection,Deficiency in Service Complaint
CASE-001818,Arbitration,Arbitral Award Challenge
CASE-001819,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-001820,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001821,Arbitration,Arbitral Award Challenge
CASE-001822,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001823,Criminal Law,Criminal Trial
CASE-001824,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-001825,Cybercrime & IT,Online Fraud / Cybercrime
CASE-001826,Corporate & Commercial,Commercial Contract Dispute
CASE-001827,Divorce & Matrimonial,Divorce Petition
CASE-001828,Criminal Law,Criminal Trial
CASE-001829,Child Protection,POCSO / Child Protection Proceeding
CASE-001830,Employment & Labour,Wrongful Termination
CASE-001831,Family & Succession,Inheritance / Probate
CASE-001832,Divorce & Matrimonial,Divorce Petition
CASE-001833,Human Rights & PIL,Public Interest Litigation
CASE-001834,Administrative Law,Administrative Order Challenge
CASE-001835,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001836,Family & Succession,Inheritance / Probate
CASE-001837,Criminal Law,Criminal Trial
CASE-001838,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001839,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001840,Family & Succession,Inheritance / Probate
CASE-001841,Consumer Protection,Deficiency in Service Complaint
CASE-001842,Medical Negligence,Medical Negligence Complaint
CASE-001843,Arbitration,Arbitral Award Challenge
CASE-001844,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001845,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001846,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001847,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001848,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-001849,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001850,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001851,Environmental Law,Environmental Clearance Challenge
CASE-001852,Employment & Labour,Wrongful Termination
CASE-001853,Family & Succession,Inheritance / Probate
CASE-001854,Employment & Labour,Wrongful Termination
CASE-001855,Employment & Labour,Wrongful Termination
CASE-001856,Human Rights & PIL,Public Interest Litigation
CASE-001857,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001858,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001859,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001860,Corporate & Commercial,Commercial Contract Dispute
CASE-001861,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001862,Consumer Protection,Deficiency in Service Complaint
CASE-001863,Criminal Law,Criminal Trial
CASE-001864,Cybercrime & IT,Online Fraud / Cybercrime
CASE-001865,Tax & GST,GST / Tax Assessment Appeal
CASE-001866,White Collar Crime,Money Laundering / Corruption Case
CASE-001867,Arbitration,Arbitral Award Challenge
CASE-001868,Tax & GST,GST / Tax Assessment Appeal
CASE-001869,Consumer Protection,Deficiency in Service Complaint
CASE-001870,Corporate & Commercial,Commercial Contract Dispute
CASE-001871,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001872,Arbitration,Arbitral Award Challenge
CASE-001873,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001874,Criminal Law,Criminal Trial
CASE-001875,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001876,Corporate & Commercial,Commercial Contract Dispute
CASE-001877,Tax & GST,GST / Tax Assessment Appeal
CASE-001878,Environmental Law,Environmental Clearance Challenge
CASE-001879,Criminal Law,Criminal Trial
CASE-001880,Child Protection,POCSO / Child Protection Proceeding
CASE-001881,Human Rights & PIL,Public Interest Litigation
CASE-001882,Education Law,Student Admission / Examination Dispute
CASE-001883,Divorce & Matrimonial,Divorce Petition
CASE-001884,Human Rights & PIL,Public Interest Litigation
CASE-001885,Employment & Labour,Wrongful Termination
CASE-001886,Tax & GST,GST / Tax Assessment Appeal
CASE-001887,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001888,Family & Succession,Inheritance / Probate
CASE-001889,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-001890,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-001891,Child Protection,POCSO / Child Protection Proceeding
CASE-001892,Intellectual Property,Trademark Infringement
CASE-001893,Family & Succession,Inheritance / Probate
CASE-001894,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001895,Family & Succession,Inheritance / Probate
CASE-001896,Administrative Law,Administrative Order Challenge
CASE-001897,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001898,Cybercrime & IT,Online Fraud / Cybercrime
CASE-001899,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001900,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-001901,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001902,Corporate & Commercial,Commercial Contract Dispute
CASE-001903,Human Rights & PIL,Public Interest Litigation
CASE-001904,Arbitration,Arbitral Award Challenge
CASE-001905,Criminal Law,Criminal Trial
CASE-001906,White Collar Crime,Money Laundering / Corruption Case
CASE-001907,Human Rights & PIL,Public Interest Litigation
CASE-001908,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001909,Employment & Labour,Wrongful Termination
CASE-001910,Employment & Labour,Wrongful Termination
CASE-001911,Employment & Labour,Wrongful Termination
CASE-001912,Environmental Law,Environmental Clearance Challenge
CASE-001913,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001914,Intellectual Property,Trademark Infringement
CASE-001915,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001916,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001917,Family & Succession,Inheritance / Probate
CASE-001918,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001919,Cybercrime & IT,Online Fraud / Cybercrime
CASE-001920,Divorce & Matrimonial,Divorce Petition
CASE-001921,Criminal Law,Criminal Trial
CASE-001922,Human Rights & PIL,Public Interest Litigation
CASE-001923,Education Law,Student Admission / Examination Dispute
CASE-001924,Medical Negligence,Medical Negligence Complaint
CASE-001925,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-001926,Divorce & Matrimonial,Divorce Petition
CASE-001927,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001928,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001929,Tax & GST,GST / Tax Assessment Appeal
CASE-001930,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001931,Consumer Protection,Deficiency in Service Complaint
CASE-001932,Medical Negligence,Medical Negligence Complaint
CASE-001933,Environmental Law,Environmental Clearance Challenge
CASE-001934,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001935,Education Law,Student Admission / Examination Dispute
CASE-001936,Criminal Law,Criminal Trial
CASE-001937,Tax & GST,GST / Tax Assessment Appeal
CASE-001938,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-001939,Education Law,Student Admission / Examination Dispute
CASE-001940,Intellectual Property,Trademark Infringement
CASE-001941,Divorce & Matrimonial,Divorce Petition
CASE-001942,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-001943,Property & Land,Property / Partition Suit
CASE-001944,Property & Land,Property / Partition Suit
CASE-001945,Administrative Law,Administrative Order Challenge
CASE-001946,Family & Succession,Inheritance / Probate
CASE-001947,Education Law,Student Admission / Examination Dispute
CASE-001948,Corporate & Commercial,Commercial Contract Dispute
CASE-001949,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001950,White Collar Crime,Money Laundering / Corruption Case
CASE-001951,Human Rights & PIL,Public Interest Litigation
CASE-001952,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001953,Intellectual Property,Trademark Infringement
CASE-001954,Arbitration,Arbitral Award Challenge
CASE-001955,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-001956,White Collar Crime,Money Laundering / Corruption Case
CASE-001957,Employment & Labour,Wrongful Termination
CASE-001958,Divorce & Matrimonial,Divorce Petition
CASE-001959,Environmental Law,Environmental Clearance Challenge
CASE-001960,Family & Succession,Inheritance / Probate
CASE-001961,White Collar Crime,Money Laundering / Corruption Case
CASE-001962,Family & Succession,Inheritance / Probate
CASE-001963,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001964,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001965,Divorce & Matrimonial,Divorce Petition
CASE-001966,Divorce & Matrimonial,Divorce Petition
CASE-001967,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001968,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001969,Human Rights & PIL,Public Interest Litigation
CASE-001970,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001971,Corporate & Commercial,Commercial Contract Dispute
CASE-001972,Human Rights & PIL,Public Interest Litigation
CASE-001973,Administrative Law,Administrative Order Challenge
CASE-001974,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-001975,Criminal Law,Criminal Trial
CASE-001976,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-001977,Immigration & Citizenship,Citizenship / Passport Matter
CASE-001978,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001979,Motor Accident Claims,Motor Accident Compensation Claim
CASE-001980,Human Rights & PIL,Public Interest Litigation
CASE-001981,Corporate & Commercial,Commercial Contract Dispute
CASE-001982,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-001983,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-001984,White Collar Crime,Money Laundering / Corruption Case
CASE-001985,Divorce & Matrimonial,Divorce Petition
CASE-001986,Contract & Agreement,Breach of Contract / Specific Performance
CASE-001987,Corporate & Commercial,Commercial Contract Dispute
CASE-001988,Criminal Law,Criminal Trial
CASE-001989,Property & Land,Property / Partition Suit
CASE-001990,Child Protection,POCSO / Child Protection Proceeding
CASE-001991,Divorce & Matrimonial,Divorce Petition
CASE-001992,Cybercrime & IT,Online Fraud / Cybercrime
CASE-001993,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-001994,Constitutional Law,Writ / Fundamental Rights Petition
CASE-001995,Cybercrime & IT,Online Fraud / Cybercrime
CASE-001996,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-001997,Divorce & Matrimonial,Divorce Petition
CASE-001998,Child Protection,POCSO / Child Protection Proceeding
CASE-001999,White Collar Crime,Money Laundering / Corruption Case
CASE-002000,Education Law,Student Admission / Examination Dispute
CASE-002001,Consumer Protection,Deficiency in Service Complaint
CASE-002002,Family & Succession,Inheritance / Probate
CASE-002003,Arbitration,Arbitral Award Challenge
CASE-002004,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002005,Employment & Labour,Wrongful Termination
CASE-002006,Divorce & Matrimonial,Divorce Petition
CASE-002007,Divorce & Matrimonial,Divorce Petition
CASE-002008,Environmental Law,Environmental Clearance Challenge
CASE-002009,Arbitration,Arbitral Award Challenge
CASE-002010,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002011,Tax & GST,GST / Tax Assessment Appeal
CASE-002012,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002013,Arbitration,Arbitral Award Challenge
CASE-002014,Tax & GST,GST / Tax Assessment Appeal
CASE-002015,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002016,Family & Succession,Inheritance / Probate
CASE-002017,Criminal Law,Criminal Trial
CASE-002018,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002019,Tax & GST,GST / Tax Assessment Appeal
CASE-002020,Tax & GST,GST / Tax Assessment Appeal
CASE-002021,Administrative Law,Administrative Order Challenge
CASE-002022,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002023,Child Protection,POCSO / Child Protection Proceeding
CASE-002024,Intellectual Property,Trademark Infringement
CASE-002025,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002026,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002027,Property & Land,Property / Partition Suit
CASE-002028,Child Protection,POCSO / Child Protection Proceeding
CASE-002029,Child Protection,POCSO / Child Protection Proceeding
CASE-002030,Medical Negligence,Medical Negligence Complaint
CASE-002031,Property & Land,Property / Partition Suit
CASE-002032,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002033,Consumer Protection,Deficiency in Service Complaint
CASE-002034,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002035,Child Protection,POCSO / Child Protection Proceeding
CASE-002036,Family & Succession,Inheritance / Probate
CASE-002037,Media & Defamation,Defamation Suit
CASE-002038,Divorce & Matrimonial,Divorce Petition
CASE-002039,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002040,Intellectual Property,Trademark Infringement
CASE-002041,Family & Succession,Inheritance / Probate
CASE-002042,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002043,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002044,Employment & Labour,Wrongful Termination
CASE-002045,Media & Defamation,Defamation Suit
CASE-002046,Employment & Labour,Wrongful Termination
CASE-002047,Family & Succession,Inheritance / Probate
CASE-002048,Environmental Law,Environmental Clearance Challenge
CASE-002049,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002050,Medical Negligence,Medical Negligence Complaint
CASE-002051,Child Protection,POCSO / Child Protection Proceeding
CASE-002052,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002053,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002054,Tax & GST,GST / Tax Assessment Appeal
CASE-002055,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002056,Intellectual Property,Trademark Infringement
CASE-002057,Criminal Law,Criminal Trial
CASE-002058,Administrative Law,Administrative Order Challenge
CASE-002059,Arbitration,Arbitral Award Challenge
CASE-002060,White Collar Crime,Money Laundering / Corruption Case
CASE-002061,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002062,Intellectual Property,Trademark Infringement
CASE-002063,White Collar Crime,Money Laundering / Corruption Case
CASE-002064,Family & Succession,Inheritance / Probate
CASE-002065,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002066,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002067,Human Rights & PIL,Public Interest Litigation
CASE-002068,Media & Defamation,Defamation Suit
CASE-002069,Corporate & Commercial,Commercial Contract Dispute
CASE-002070,Corporate & Commercial,Commercial Contract Dispute
CASE-002071,Divorce & Matrimonial,Divorce Petition
CASE-002072,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002073,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002074,Tax & GST,GST / Tax Assessment Appeal
CASE-002075,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002076,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002077,Property & Land,Property / Partition Suit
CASE-002078,Corporate & Commercial,Commercial Contract Dispute
CASE-002079,Medical Negligence,Medical Negligence Complaint
CASE-002080,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002081,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002082,Intellectual Property,Trademark Infringement
CASE-002083,Criminal Law,Criminal Trial
CASE-002084,Criminal Law,Criminal Trial
CASE-002085,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002086,Human Rights & PIL,Public Interest Litigation
CASE-002087,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002088,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002089,Child Protection,POCSO / Child Protection Proceeding
CASE-002090,Criminal Law,Criminal Trial
CASE-002091,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002092,Child Protection,POCSO / Child Protection Proceeding
CASE-002093,Environmental Law,Environmental Clearance Challenge
CASE-002094,Human Rights & PIL,Public Interest Litigation
CASE-002095,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002096,Education Law,Student Admission / Examination Dispute
CASE-002097,Human Rights & PIL,Public Interest Litigation
CASE-002098,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002099,Administrative Law,Administrative Order Challenge
CASE-002100,Corporate & Commercial,Commercial Contract Dispute
CASE-002101,Environmental Law,Environmental Clearance Challenge
CASE-002102,Environmental Law,Environmental Clearance Challenge
CASE-002103,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002104,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002105,Child Protection,POCSO / Child Protection Proceeding
CASE-002106,Child Protection,POCSO / Child Protection Proceeding
CASE-002107,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002108,Family & Succession,Inheritance / Probate
CASE-002109,Administrative Law,Administrative Order Challenge
CASE-002110,White Collar Crime,Money Laundering / Corruption Case
CASE-002111,Human Rights & PIL,Public Interest Litigation
CASE-002112,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002113,Medical Negligence,Medical Negligence Complaint
CASE-002114,Media & Defamation,Defamation Suit
CASE-002115,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002116,Criminal Law,Criminal Trial
CASE-002117,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002118,Intellectual Property,Trademark Infringement
CASE-002119,Administrative Law,Administrative Order Challenge
CASE-002120,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002121,Administrative Law,Administrative Order Challenge
CASE-002122,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002123,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002124,Human Rights & PIL,Public Interest Litigation
CASE-002125,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002126,Education Law,Student Admission / Examination Dispute
CASE-002127,Tax & GST,GST / Tax Assessment Appeal
CASE-002128,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002129,Human Rights & PIL,Public Interest Litigation
CASE-002130,Media & Defamation,Defamation Suit
CASE-002131,Divorce & Matrimonial,Divorce Petition
CASE-002132,Criminal Law,Criminal Trial
CASE-002133,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002134,Consumer Protection,Deficiency in Service Complaint
CASE-002135,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002136,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002137,Divorce & Matrimonial,Divorce Petition
CASE-002138,Corporate & Commercial,Commercial Contract Dispute
CASE-002139,Environmental Law,Environmental Clearance Challenge
CASE-002140,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002141,Tax & GST,GST / Tax Assessment Appeal
CASE-002142,Administrative Law,Administrative Order Challenge
CASE-002143,White Collar Crime,Money Laundering / Corruption Case
CASE-002144,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002145,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002146,Medical Negligence,Medical Negligence Complaint
CASE-002147,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002148,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002149,Intellectual Property,Trademark Infringement
CASE-002150,Media & Defamation,Defamation Suit
CASE-002151,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002152,Tax & GST,GST / Tax Assessment Appeal
CASE-002153,Education Law,Student Admission / Examination Dispute
CASE-002154,Media & Defamation,Defamation Suit
CASE-002155,Criminal Law,Criminal Trial
CASE-002156,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002157,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002158,Administrative Law,Administrative Order Challenge
CASE-002159,Family & Succession,Inheritance / Probate
CASE-002160,Divorce & Matrimonial,Divorce Petition
CASE-002161,Arbitration,Arbitral Award Challenge
CASE-002162,Corporate & Commercial,Commercial Contract Dispute
CASE-002163,Medical Negligence,Medical Negligence Complaint
CASE-002164,Medical Negligence,Medical Negligence Complaint
CASE-002165,Consumer Protection,Deficiency in Service Complaint
CASE-002166,Employment & Labour,Wrongful Termination
CASE-002167,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002168,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002169,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002170,Property & Land,Property / Partition Suit
CASE-002171,Environmental Law,Environmental Clearance Challenge
CASE-002172,Corporate & Commercial,Commercial Contract Dispute
CASE-002173,Arbitration,Arbitral Award Challenge
CASE-002174,Administrative Law,Administrative Order Challenge
CASE-002175,Criminal Law,Criminal Trial
CASE-002176,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002177,Media & Defamation,Defamation Suit
CASE-002178,Administrative Law,Administrative Order Challenge
CASE-002179,Divorce & Matrimonial,Divorce Petition
CASE-002180,Environmental Law,Environmental Clearance Challenge
CASE-002181,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002182,Child Protection,POCSO / Child Protection Proceeding
CASE-002183,Arbitration,Arbitral Award Challenge
CASE-002184,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002185,Intellectual Property,Trademark Infringement
CASE-002186,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002187,Education Law,Student Admission / Examination Dispute
CASE-002188,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002189,Criminal Law,Criminal Trial
CASE-002190,Child Protection,POCSO / Child Protection Proceeding
CASE-002191,Tax & GST,GST / Tax Assessment Appeal
CASE-002192,Arbitration,Arbitral Award Challenge
CASE-002193,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002194,White Collar Crime,Money Laundering / Corruption Case
CASE-002195,Corporate & Commercial,Commercial Contract Dispute
CASE-002196,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002197,Family & Succession,Inheritance / Probate
CASE-002198,Human Rights & PIL,Public Interest Litigation
CASE-002199,Tax & GST,GST / Tax Assessment Appeal
CASE-002200,Employment & Labour,Wrongful Termination
CASE-002201,Administrative Law,Administrative Order Challenge
CASE-002202,Divorce & Matrimonial,Divorce Petition
CASE-002203,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002204,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002205,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002206,Property & Land,Property / Partition Suit
CASE-002207,Tax & GST,GST / Tax Assessment Appeal
CASE-002208,Employment & Labour,Wrongful Termination
CASE-002209,Family & Succession,Inheritance / Probate
CASE-002210,Corporate & Commercial,Commercial Contract Dispute
CASE-002211,Divorce & Matrimonial,Divorce Petition
CASE-002212,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002213,Corporate & Commercial,Commercial Contract Dispute
CASE-002214,Corporate & Commercial,Commercial Contract Dispute
CASE-002215,Property & Land,Property / Partition Suit
CASE-002216,Medical Negligence,Medical Negligence Complaint
CASE-002217,Human Rights & PIL,Public Interest Litigation
CASE-002218,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002219,Medical Negligence,Medical Negligence Complaint
CASE-002220,Employment & Labour,Wrongful Termination
CASE-002221,White Collar Crime,Money Laundering / Corruption Case
CASE-002222,Arbitration,Arbitral Award Challenge
CASE-002223,Administrative Law,Administrative Order Challenge
CASE-002224,White Collar Crime,Money Laundering / Corruption Case
CASE-002225,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002226,Consumer Protection,Deficiency in Service Complaint
CASE-002227,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002228,Environmental Law,Environmental Clearance Challenge
CASE-002229,Tax & GST,GST / Tax Assessment Appeal
CASE-002230,Administrative Law,Administrative Order Challenge
CASE-002231,Intellectual Property,Trademark Infringement
CASE-002232,Consumer Protection,Deficiency in Service Complaint
CASE-002233,Education Law,Student Admission / Examination Dispute
CASE-002234,Property & Land,Property / Partition Suit
CASE-002235,Medical Negligence,Medical Negligence Complaint
CASE-002236,Corporate & Commercial,Commercial Contract Dispute
CASE-002237,Education Law,Student Admission / Examination Dispute
CASE-002238,Child Protection,POCSO / Child Protection Proceeding
CASE-002239,Administrative Law,Administrative Order Challenge
CASE-002240,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002241,White Collar Crime,Money Laundering / Corruption Case
CASE-002242,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002243,Intellectual Property,Trademark Infringement
CASE-002244,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002245,Family & Succession,Inheritance / Probate
CASE-002246,Arbitration,Arbitral Award Challenge
CASE-002247,Environmental Law,Environmental Clearance Challenge
CASE-002248,Medical Negligence,Medical Negligence Complaint
CASE-002249,White Collar Crime,Money Laundering / Corruption Case
CASE-002250,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002251,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002252,Consumer Protection,Deficiency in Service Complaint
CASE-002253,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002254,Administrative Law,Administrative Order Challenge
CASE-002255,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002256,Environmental Law,Environmental Clearance Challenge
CASE-002257,Divorce & Matrimonial,Divorce Petition
CASE-002258,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002259,Administrative Law,Administrative Order Challenge
CASE-002260,Corporate & Commercial,Commercial Contract Dispute
CASE-002261,Intellectual Property,Trademark Infringement
CASE-002262,Consumer Protection,Deficiency in Service Complaint
CASE-002263,White Collar Crime,Money Laundering / Corruption Case
CASE-002264,Criminal Law,Criminal Trial
CASE-002265,Human Rights & PIL,Public Interest Litigation
CASE-002266,Environmental Law,Environmental Clearance Challenge
CASE-002267,Consumer Protection,Deficiency in Service Complaint
CASE-002268,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002269,Human Rights & PIL,Public Interest Litigation
CASE-002270,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002271,Intellectual Property,Trademark Infringement
CASE-002272,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002273,Administrative Law,Administrative Order Challenge
CASE-002274,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002275,Intellectual Property,Trademark Infringement
CASE-002276,Environmental Law,Environmental Clearance Challenge
CASE-002277,Human Rights & PIL,Public Interest Litigation
CASE-002278,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002279,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002280,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002281,Administrative Law,Administrative Order Challenge
CASE-002282,Property & Land,Property / Partition Suit
CASE-002283,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002284,Employment & Labour,Wrongful Termination
CASE-002285,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002286,Child Protection,POCSO / Child Protection Proceeding
