case_id,legal_domain,case_type,combo_text
CASE-000271,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000272,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-000273,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-000274,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-000275,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-000276,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-000277,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-000278,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-000279,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-000280,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-000281,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-000282,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-000283,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-000284,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-000285,Cybercrime & IT,Online Fraud / Cybercrime,"Whether the facts and evidence establish the legal requirements arising from the cybercrime & it dispute. Synthetic case involving a online fraud / cybercrime. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Cybercrime & IT, Online Fraud / Cybercrime, Information Technology Act, 2000, IT Act §§43, 66, 66C, 66D"
CASE-000286,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-000287,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-000288,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-000289,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-000290,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-000291,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-000292,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000293,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-000294,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-000295,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-000296,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-000297,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-000298,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-000299,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-000300,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-000301,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-000302,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-000303,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-000304,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-000305,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-000306,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-000307,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-000308,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000309,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000310,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-000311,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-000312,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-000313,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-000314,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-000315,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000316,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-000317,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-000318,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-000319,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-000320,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-000321,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-000322,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000323,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-000324,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-000325,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-000326,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-000327,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000328,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-000329,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-000330,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-000331,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000332,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-000333,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-000334,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-000335,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-000336,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-000337,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-000338,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-000339,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-000340,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000341,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-000342,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-000343,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-000344,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-000345,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-000346,Cybercrime & IT,Online Fraud / Cybercrime,"Whether the facts and evidence establish the legal requirements arising from the cybercrime & it dispute. Synthetic case involving a online fraud / cybercrime. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Cybercrime & IT, Online Fraud / Cybercrime, Information Technology Act, 2000, IT Act §§43, 66, 66C, 66D"
CASE-000347,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-000348,Cybercrime & IT,Online Fraud / Cybercrime,"Whether the facts and evidence establish the legal requirements arising from the cybercrime & it dispute. Synthetic case involving a online fraud / cybercrime. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Cybercrime & IT, Online Fraud / Cybercrime, Information Technology Act, 2000, IT Act §§43, 66, 66C, 66D"
CASE-000349,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-000350,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-000351,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-000352,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-000353,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-000354,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-000355,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
